stateabbr,county,countyfipscode,their_cityname,dot_cityname,dot_citycode,their_note
MD,ANNE ARUNDEL,24003,CAPE SAINT CLAIRE,CAPE ST CLAIRE,0242,
MD,PRINCE GEORGES,24033,DISTRICT HEIGHTS,DISTRICT HTS,0450,
MD,PRINCE GEORGES,24033,FAIRMOUNT HEIGHTS,FAIRMOUNT HTS,0550,
MD,WASHINGTON,24043,FAIRPLAY,FAIR PLAY,0547,
MD,PRINCE GEORGES,24033,LANHAM SEABROOK,LANHAM/SEABROOK,0888,
MD,ALLEGANY,24001,LAVALE,LA VALE,0905,
MD,GARRETT,24023,LOCH LYNN HEIGHTS,LOCH LYNN HTS,0940,
MD,GARRETT,24023,MC HENRY,MCHENRY,0964,
MD,CHARLES,24017,SAINT CHARLES,ST. CHARLES,1367,
MD,WASHINGTON,24043,SAINT JAMES,ST JAMES,1365,
MD,CALVERT,24009,SAINT LEONARD,ST LEONARD,1369,
MD,TALBOT,24041,SAINT MICHAELS,ST MICHAELS,1370,
NJ,SOMERSET,34035,BELLE MEAD,BELLE-MEAD,0225,
NJ,UNION,34039,BERKELEY HEIGHTS,BERKELEY HGTS,0275,
NJ,CAPE MAY,34009,CAPE MAY COURT HOUSE,CAPE MAY COURTHOUSE,0540,
NJ,MONMOUTH,34025,CREAM RIDGE,CREAMRIDGE,0707,
NJ,BURLINGTON,34005,EASTAMPTON,EASTAMPTON TOWNSHIP,0777,
NJ,ATLANTIC,34001,EGG HARBOR TWP,EGG HARBOR TOWNSHIP,0851,
NJ,MERCER,34021,EWING,EWING TOWNSHIP,0935,
NJ,MERCER,34021,EWING TWP,EWING TOWNSHIP,0935,
NJ,ATLANTIC,34001,GALLOWAY,GALLOWAY TOWNSHIP,1105,
NJ,MERCER,34021,HAMILTON,HAMILTON TOWNSHIP,1265,
NJ,BERGEN,34003,HASBROUCK HEIGHTS,HASBROUCK HTS,1330,
NJ,OCEAN,34029,LONG BEACH TOWNSHIP,LONG BEACH,1755,
NJ,OCEAN,34029,MANCHESTER,MANCHESTER TOWNSHIP,1801,
NJ,SUSSEX,34037,MC AFEE,MCAFEE,1779,
NJ,MIDDLESEX,34023,MONROE TWP,MONROE TOWNSHIP,1986,
NJ,MORRIS,34027,MOUNT ARLINGTON,MT ARLINGTON,2060,
NJ,CAMDEN,34007,MOUNT EPHRAIM,MT EPHRAIM,2070,
NJ,BURLINGTON,34005,MOUNT LAUREL,MT LAUREL,2081,
NJ,GLOUCESTER,34015,MOUNT ROYAL,MT ROYAL,2082,
NJ,SALEM,34033,PILESGROVE TOWNSHIP,PILESGROVE,2586,
NJ,SALEM,34033,PITTSGROVE,PITTSGROVE TOWNSHIP,2617,
NJ,OCEAN,34029,POINT PLEASANT BORO,POINT PLEASANT,2650,
NJ,OCEAN,34029,SEASIDE HEIGHTS,SEASIDE HTS,3010,
NJ,BURLINGTON,34005,SHAMONG,SHAMONG TOWNSHIP,3047,
NJ,MONMOUTH,34025,WALL,WALL TOWNSHIP,3475,
NJ,BURLINGTON,34005,WESTAMPTON,WESTAMPTON TOWNSHIP,3537,
NJ,HUNTERDON,34019,WHITEHOUSE STATION,WHITE HOUSE STATION,3659,
NJ,GLOUCESTER,34015,WOODBURY HEIGHTS,WOODBURY HTS,3720,
NJ,GLOUCESTER,34015,WOOLWICH TWP,WOOLWICH TOWNSHIP,3734,
PA,LUZERNE,42079,BEAR CREEK TOWNSHIP,BEAR CREEK,0455,
PA,SCHUYLKILL,42107,BRANCHDALE,BRANCH DALE,0853,
PA,BRADFORD,42015,BURLINGTON TOWNSHIP,BURLINGTON,1002,
PA,FAYETTE,42051,CHALK HILL,CHALKHILL,1225,
PA,DELAWARE,42045,CHESTER HEIGHTS,CHESTER HTS,1280,
PA,SUSQUEHANNA,42115,CLIFFORD TOWNSHIP,CLIFFORD,1445,
PA,DELAWARE,42045,CLIFTON HEIGHTS,CLIFTON HTS,1450,
PA,BUTLER,42019,CRANBERRY TWP,CRANBERRY TOWNSHIP,1747,
PA,ALLEGHENY,42003,CRESCENT,CRESCENT TOWNSHIP,1265,
PA,ALLEGHENY,42003,EAST MC KEESPORT,EAST MCKEESPORT,2250,
PA,LACKAWANNA,42069,ELMHURST TOWNSHIP,ELMHURST,2591,
PA,ALLEGHENY,42003,GREENTREE,GREEN TREE,3380,
PA,BRADFORD,42015,LEROY,LE ROY,4406,
PA,JUNIATA,42067,MC ALISTERVILLE,MCALISTERVILLE,4671,
PA,FAYETTE,42051,MC CLELLANDTOWN,MCCLELLANDTOWN,4672,
PA,FULTON,42057,MC CONNELLSBURG,MCCONNELLSBURG,4680,
PA,HUNTINGDON,42061,MC CONNELLSTOWN,MCCONNELLSTOWN,4681,
PA,WASHINGTON,42125,MC DONALD,MCDONALD,4690,
PA,CLINTON,42035,MC ELHATTAN,MCELHATTAN,4692,
PA,NORTHUMBERLAND,42097,MC EWENSVILLE,MCEWENSVILLE,4693,
PA,ARMSTRONG,42005,MC GRANN,MCGRANN,4700,
PA,INDIANA,42063,MC INTYRE,MCINTYRE,4702,
PA,ERIE,42049,MC KEAN,MCKEAN,4705,
PA,ALLEGHENY,42003,MC KEES ROCKS,MCKEES ROCKS,4720,
PA,ADAMS,42001,MC KNIGHTSTOWN,MCKNIGHTS TOWN,4723,
PA,MIFFLIN,42087,MC VEYTOWN,MCVEYTOWN,4740,
PA,WYOMING,42131,MEHOOPANY TWP,MEHOOPANY,5042,
PA,LEBANON,42075,MT GRETNA,MOUNT GRETNA,5522,
PA,ALLEGHENY,42003,MT LEBANON,MOUNT LEBANON,5555,
PA,WESTMORELAND,42129,MT PLEASANT,MOUNT PLEASANT,5580,
PA,BEAVER,42007,PATTERSON HEIGHTS,PATTERSON HGTS,6420,
PA,LUZERNE,42079,PLAINS TOWNSHIP,PLAINS,6615,
PA,WESTMORELAND,42129,ROSTRAVER TOWNSHIP,ROSTRAVER,7185,
PA,CAMBRIA,42021,SAINT BONIFACE,ST BONIFACE,7277,
PA,SCHUYLKILL,42107,SAINT CLAIR,ST CLAIR,7280,
PA,ELK,42047,SAINT MARYS,ST MARYS,7300,
PA,CAMBRIA,42021,SAINT MICHAEL,ST MICHAEL,7310,
PA,CLARION,42031,SAINT PETERSBURG,ST PETERSBURG,7320,
PA,FRANKLIN,42055,SAINT THOMAS,ST THOMAS,7325,
PA,ALLEGHENY,42003,SOUTH PARK,SOUTH PARK TOWNSHIP,7912,
PA,CAMBRIA,42021,ST BENEDICT,SAINT BENEDICT,7275,
PA,NORTHAMPTON,42095,STOCKERTOWN TOWNSHIP,STOCKERTOWN,8140,
PA,WARREN,42123,SUGAR GROVE,SUGARGROVE,8220,
PA,NORTHAMPTON,42095,TATAMY BOROUGH,TATAMY,8370,
PA,CHESTER,42029,TREDYFFRIN,TREDYFFRIN TOWNSHIP,8545,
PA,FRANKLIN,42055,UPPERSTRASBURG,UPPER STRASBURG,8718,
PA,LACKAWANNA,42069,WAVERLY TOWNSHIP,WAVERLY,8906,
PA,NORTHAMPTON,42095,WIND GAP,WINDGAP,9430,
VA,FAIRFAX,51059,BELLEVIEW,BELLE VIEW,0141,
VA,FALLS CHURCH CITY,51610,FALLS  CHURCH,FALLS CHURCH,0930,
VA,FRANKLIN,51067,GLADE HILL,GLADEHILL,1067,
VA,BEDFORD,51019,GOODVIEW,GOOD VIEW,1108,
VA,ALLEGHANY,51005,LOW MOOR,LOWMOOR,1477,
VA,AMHERST,51009,MADISON HEIGHTS,MADISON HTS,1540,
VA,DICKENSON,51051,MC CLURE,MCCLURE,1525,
VA,MONTGOMERY,51121,MC COY,MCCOY,1522,
VA,HIGHLAND,51091,MC DOWELL,MCDOWELL,1500,
VA,ROCKINGHAM,51165,MC GAHEYSVILLE,MCGAHEYSVILLE,1505,
VA,DINWIDDIE,51053,MC KENNEY,MCKENNEY,1510,
VA,WASHINGTON,51191,MEADOWVIEW,MEADOW VIEW,1580,
